subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Patrick Wong,v01,4,30.591000080108643,40.08102464675903,1774421233.3235176,1774421242.7802439,9.49002456665039,76.77972317179712,4,76.74600350738135,0.03371966441577001,4,55.77374323420129,21.005979937595825,video_RAW_YUV420
Patrick Wong,v01,5,40.82200002670288,50.11301064491272,1774421243.5545175,1774421252.812227,9.291010618209839,78.54134663077372,5,78.23476053313743,0.3065860976362842,5,80.19797906114881,1.6566324303750974,video_RAW_YUV420
Patrick Yum,v01,1,0.0,10.0,1774421695.6074886,1774421705.5741553,10.0,86.5822025199043,1,84.51052287367804,2.071679646226258,1,87.54410743673127,0.9619049168269669,android_311YJP3P3080D200020
Patrick Yum,v01,2,10.068000078201294,19.984763383865356,1774421705.6754887,1774421715.5589743,9.916763305664062,84.43852240895396,2,84.84297101751076,0.4044486085568053,2,85.06070399718188,0.6221815882279174,video_RAW_YUV420
Patrick Yum,v01,3,20.265000104904175,29.984496593475342,1774421715.8724887,1774421725.5586994,9.719496488571167,87.20354356199445,3,88.24002578508228,1.0364822230878303,3,38.29634841739487,48.907195144599584,video_RAW_YUV420
Patrick Yum,v01,4,30.496000051498413,39.9844126701355,1774421726.1034887,1774421735.5586085,9.488412618637085,88.43885151977626,4,88.29870784029781,0.14014367947845585,4,87.76129999509342,0.6775515246828405,video_RAW_YUV420
Patrick Yum,v01,5,40.79700016975403,49.984705209732056,1774421736.4044888,1774421745.5589051,9.187705039978027,89.18683235707476,5,88.71330275109067,0.47352960598409766,5,65.58997707128681,23.596855285787953,video_RAW_YUV420
Raymond,v01,1,0.0,10.017087936401367,1774420947.535037,1774420957.5188456,10.017087936401367,78.10584315192214,1,76.95327126932727,1.15257188259487,1,52.300771869155156,25.80507128276699,video_RAW_YUV420
Raymond,v01,2,10.071000099182129,20.048676013946533,1774420957.6060371,1774420967.5503428,9.977675914764404,76.6249127658603,2,77.2595059052007,0.6345931393403959,2,48.640139584406455,27.984773181453846,video_RAW_YUV420
Raymond,v01,3,20.30299997329712,30.064064741134644,1774420967.838037,1774420977.5657876,9.761064767837524,78.28912080297289,3,76.64183929836827,1.6472815046046207,3,58.63802071369277,19.65110008928012,video_RAW_YUV420
Raymond,v01,4,30.503000020980835,40.080288887023926,1774420978.038037,1774420987.5819557,9.57728886604309,76.31697549576288,4,74.78463382036888,1.5323416753939938,4,80.1201577077743,3.8031822120114214,video_RAW_YUV420
Raymond,v01,5,40.704999923706055,50.11845779418945,1774420988.240037,1774420997.6201138,9.413457870483398,76.82841766531246,5,77.26415064205271,0.4357329767402547,5,81.17448858026259,4.346070914950133,video_RAW_YUV420
Samantha,v01,1,0.0,10.017335891723633,1774420455.6989532,1774420465.683009,10.017335891723633,76.46722943373088,1,54.50973025876864,21.957499174962237,1,59.446678600048905,17.020550833681973,android_311YJP3P3080D200020
Samantha,v01,2,10.039000034332275,20.0322904586792,1774420465.7379532,1774420475.6979327,9.993290424346924,74.75355904241164,2,55.87540428105782,18.87815476135382,2,62.262264142663895,12.491294899747743,android_311YJP3P3080D200020
Samantha,v01,3,20.67199993133545,30.065014362335205,1774420476.370953,1774420485.730659,9.393014430999756,74.93166915769362,3,75.40489797112335,0.4732288134297278,3,43.39679802842321,31.534871129270407,video_RAW_YUV420
